reviews[].excerpt,reviews[].date,reviews[].user.name,reviews[].user.rating,review[].user.useful,reviews[].user.funny,reviews[].user.cool,reviews[].user.status
"The first Irish Pub I've been to stateside!

Not even going to compare it to the ones in Europe, but I still had fun.

Came here with a boy and drinks were rather pricey compared to what I'm used to paying in France -- good thing I didn't have to pay.

We came here on a Sunday night, and it was one of the only places that was somewhat busy in the area. Karaoke night!!

Beers on tap are $6 each.
Shots of Patron Silver were $9
Tokyo Tea (I think) was $8-$10?

The Tea really did me in, and I only had half of one. First and only time I'm ever drinking one of those!

The bartenders were really nice and laid back, service was quick, and patrons are a bit on the ""older"" side. Considering I'm on the lower end of the drinking spectrum.

Good atmosphere. Would definitely come again if I ever want to chill at a bar.",3/3/2012,Ann B.,4,0,0,0,12
This place is crackin on St. Pattys day. They have an upstairs area that they open on this day and great drink specials. Smells kinda funky when you walk in.,2/26/2012,Cristal C,3,0,0,0,350
Like this place. It's a fun laid back place to go. Can get crowded on the weekends but it's cool! Big screens to watch the sharks game. I usually come here before I head to the tank for a game. Good place to start out. Prices are average. I believe they give something like half off drinks if you come in during a game wearing sharks gear.,2/24/2012,Lauren Ashley G.,4,2,1,2,162
"Three Words .. Irish - Car - Bomb.

Irish Car Bomb's are 'the bomb' if you WANT to get BOMBED out of your SKULL!!!!!!

Hubby and I have been coming here for YEARS (our FAVORITE PUB) and never heard of this drink ... till TUESDAY, that is!!!  
I asked our lovely waitress for something ""different"" (boy, I really NEED to go to Singlebarrel, LOL!) and she suggested the Irish Car Bomb.  We ordered one for each, and a Smithwick's  (God Bless the Irish!!) chaser.

Yes, a pint as a chaser ... YOU GOT A PROBLEM WITH THAT????

We get the drinks-a shot glass filled with half Jameson's and half Bailey's PLUS half a pint of Guiness.  You drop the shot in the Guiness and chug a lug.  Sounds totally gross, but it tastes like whipped chocolate mousse ... SERIOUSLY!!!!!!  So good, I ordered another one ... BEFORE I drank my Smitty's.  BIG MISTAKE!!!
Or, maybe not, if you are the type who doesn't like to remember dinner ... hmmmm.

Seriously, this place is FANTASTIC!!!  

Their Black and Tans are made with Guiness and Smithwick's.  I've already told you about their 'mixed drinks'!  We have also had the pleasure of listening to their live Irish band.  

Great place to bring a date!!!!!!",2/16/2012,Annie T.,5,2,1,1,36
"Best Guinness in San Jose and the closest Pub as if we're in Ireland!!
Heavy Jameson pours..

A great place to hang out and watch European Soccer and our beloved San Jose Sharks!!
Great Irish Whiskys, Scotches and other Spirits and fine Brews on Draft!
This is all you need to know!
I'm not going to waste you time..
Come here and try the Guinness, it's the Best in the area!!
If your dumb and stupid and can't say Guinness, ask for a Pint of the Black stuff!
Sláinte!! Which is cheers..technically means ""health"" ..
Just have some black stuff..if your worthy!",1/31/2012,Matthew J.,5,2,3,2,128
I'm in love with the Irish Coffee!  It's the best spiked coffee I ever had!!  This place is cozy.  Must be luck of the Irish.,1/27/2012,Ash M.,4,0,0,0,36
"Pretty cool little Irish Pub in San Pedro Square.  Everyone is really friendly.  It's a small space, but it's also quite nice.  The food menu has like...6 items, so you won't have to think too much.  Also, if you want food, you might want to just go to LG Brewing Company...since that's where they get their food from anyways (apparently used to be Peggy Sue's...).  The try tip sandwich is pretty good, but note that because of the aforementioned 'using someone else's kitchen,' your food will show up in a to go box.  Fries are okay, but a little soggy.  They've got a good number of TVs, lots of channels, and are great about putting on what you request.

Wednesday is trivia night, and they have other nights throughout the week for other entertainment (that I can't remember offhand right now).  Like them on Facebook for $2.50 drink specials.  Decent selection of beers.",1/22/2012,Brian B.,4,1,0,0,679
Love this little pub. The wait staff is always great. They have live music some nights and always play great indie/rock/pop music normally.The drinks are a little expensive but what do you expect?I never complain after a night at O' Flats.,1/19/2012,Lauren K.,5,0,0,0,45
"Pretty chill irish pub in San Pedro square area. Folks seem pretty laid back and friendly. Dang, thats what I like about cali. Not only are the people nice, but even the bums on the street are friendly. 4 stars for O'Flahertys",1/18/2012,Robert P.,4,0,0,0,66
Stopped in here after a show on a weeknight.  The place was pretty crowded so that was a good sign.  Had a couple of pints and something to snack on and just enjoyed people-watching and having a bit of conversation.  A pretty cool place to hang out for a bit.,12/22/2011,jack q.,4,0,0,0,166
"WOW! This place was a great find in Downtown San Jose. I was starting to doubt that there was a good cozy Irish pub around there... but I was clearly wrong. David was so friendly and accommodating to our group! We hung around for the live music that came on around 930 or 10, while sipping our delicious Irish coffee's, which David made himself for us. This was my first legit Irish coffee and now I have quite the high standard...!! It was perfect on a cold night.

Apparently there is live Irish music on Tuesday and Sunday evenings, so I plan to come back and listen one night while enjoying another fine coffee. I would definitely recommend this place to anyone that wants to relax in a nice charming pub, whether it's for a close group of friends, casual date drink, or to watch a good Sharks game. And who doesn't like the Irish atmosphere?? They are the best! Cheers David!",12/21/2011,Courtney M.,5,1,0,0,122
"Woohoo!!! Yummy delicious Irish Coffee!! Perfect for a cold winter night!!

Thanks to Courtney M. who found and suggested sort of a ""night cab"" spot after strolling down the Xmas in the Park on Thursday!

The bar is a bit farther from the loud and crazy busy downtown (a couple blocks down from Xmas in the Park and they ""CARD"" you before you enter.. sorry, no under 21 allowed!

We all ordered their Irish coffee, I don't remember when was the last time I had an Irish coffee..but here at O'Flaherty's ... wooooo strong and DELICIOUS!! I loveeee that they didn't skimp on the alcohol BUT it was not overwhelming and I could still taste the coffee and love the cream on top.. a perfect night cab (or shall I say, dessert? lol).

It's great that the bar has several flat screen TVs to catch some games..they also have lots of party and events FREE in the club.

You should absolutely check out this place when you're in downtown area and looking for a great laid back bar :)",12/19/2011,Yun C.,4,1,1,1,430
Had a Guiness before the sharks game. Cool spot with nice ambiance. Do not like the fact that on game night happy hour prices do not apply.,12/13/2011,Gisele C.,3,0,0,0,64
"Really nice bartenders: super friendly. Went on a Thursday night, pretty dead at 12:30-1am. Drinks seemed a little expensive? $15 for a beer and vodka/redbull.",12/9/2011,Kiersten L.,4,2,0,0,12
I love this bar. Bartenders are awesome especially my friend.,11/3/2011,Mallory L.,5,0,0,0,84
"I love this place.  O'Flaherty's is a typical Irish Pub.  Not pretentious, no BS, Friendly bar tenders and waitresses, and cheap drinks. I came here with 4 friends, we drank for an hour, and the tab was only 85 bucks.  Thats not bad considering we had 3 rounds and some shots.

The owner is a real nice guy, he came over and introduced himself and was very hospitable. Nice to be appreciated.  I have been here on multiple occasions and have good experience each time.",11/14/2009,Wayne P.,4,2,0,1,273
"What kills me is when people expect the atmosphere of their precious ultra-lounges at a bar/pub.  It's in the name here kids, ""PUB"".  An Irish pub at that.  So what we can conclude is that simple unadulterated drinking is priority #1 here.  This is one of very few spots in San Jose that has that genuine bar feel - and smell.  What you see is what you get.  Personally, I love that!

On one visit, I was even given a lesson, by the staff, in history and culture when I inquired about the fundamental difference between Bushmill's and Jameson's.  Woo-eee, did I open a can of worms with that question!

It's one of the great spots in San Jose that works as a place to start the night from, end the night at, or just spend the entire night there.  I can think of several times I've met people here after work for happy hour and the next thing I knew, I was hearing ""last call!""  (Haha, oops!)  But if you can go to a place where time flys by like this, isn't that what it's all about?  ",11/3/2009,Manuel S.,4,0,0,1,145
"I stopped in here with a friend on Halloween, and I felt ripped off. It was quiet, but not the kind of fun quiet, more like let's finish our drink and go somewhere fun quiet. Also, I read what some people wrote about the patio. They forgot to mention it is tiny.

I thought I would like this place, because the bartenders seemed friendly. I understand that Hween is a busy night, but that makes it even more important for the staff to keep their energy up. They looked exhausted and it was only 1030! In addition, it wasn't even that busy. To top it off, the drink I ordered was mostly soda. That's great if you want a yummy drink, but I like mine to have some bite. Overall. I would say the atmosphere was mediocre, just like the other times I've been there. I would go here for a beer, but forget a mixed drink. They didn't even get my lynchburg right.",11/1/2009,Heather C.,2,0,0,0,10
"For nightlife...

SERVICE:
It's like a restaurant if you sit at the table, a waitress will bring you what you need.

ATMOSPHERE:
How have I not gone here before? Keeps to the Irish Pub feel. Chill, casual place to sit and have a conversation bc music isn't loud. Outdoor and indoor seating.",9/7/2009,Angela L.,4,0,0,0,828
"My girlfriend and my favorite bar in San Jose.  The bartenders, Rurairi, Johnny, Aly, David and Tom, as well as the cocktailers Patti, Lindsay and Summer always treat us well.  They are friendly and pour stiff drinks!  The owner Ray is usually around sometime during the night and is a very welcoming face.  They hold to the phrase that is on the door: You are a stranger here but once.",8/30/2009,Steven M.,5,0,0,0,5
"I used to go here once a week for my kickball league and had a great time, but that is also due to the fact we had already started gettin pretty drunk from the game and I always enjoy a great game of flip cup.  I think it's a really good place to just chill and have a drink, but overall it's not really a major party place, a lot of tourist come in and it can be slightly quiet.",8/29/2009,Rebecca D.,3,1,1,1,184
"We stopped by before heading over to Strikeforce. It was around 6pm, and almost every bar stool was occupied by men and their beer. It was nice out and I like their patio on the sidewalk. I've never really been in an Irish pub before but it's definitely different and it's not bad at all. It gives off that cozy vibe and it's nicely decorated. The bartender was nice, although it feels like if you're not the one they helped, they don't really acknowledge you. I'm not really bothered by that since it does happen at other places as well. I ordered a 'Long Island' and it wasn't as strong tasting as most places (that's a good thing) but it did get me a little buzzed. Yes, I'm a lightweight when it comes to drinking lol. They give you a bowl full of pretzels and salted peanuts. They have the popular beers on tap. There's plenty of tables for you to sit down at and hang out. You can actually have a conversation with the person next to you since the music isn't blaring in the background. It's a chill place and I wouldn't mind coming back.",8/17/2009,Dung N.,4,2,0,2,411
"This is probably my favorite bar in all of San Jose.  It's not a hip trendy place.. so if that's what you are looking for go somewhere else.  It's a relaxed place where friends can go hang out and have a beer with out incredibly loud terrible music blasting.  Servers are really friendly and most of them make fairly good mixed drinks.  They also have a very good draft beer selection.

There are 2 reasons to go to this bar. It's a great spot to grab after work beer or two with co-workers.  Its really fun and packed on Thursday (college night) and Friday nights.",8/2/2009,Pawan R.,5,1,1,1,29
"The best part of this place is the patio on the sidewalk to enjoy the outdoor air on a nice summer night. Other than that:

I had three different beers and they all tasted like metal. Usually this a from a dirty tap, or they don't keep their kegs clean. either way, it was gross.

The tables and bar were sticky. Each and every one. The drinks we ordered were OK, but not nice and heavy. It really is ""meh"" in the truest sense.",7/25/2009,Zakk D.,2,4,5,2,679
Good selection of beers and cider. I like their calamari and burgers. Friendly staff -- nice place to hang out at.,6/6/2009,Bella B.,3,0,0,0,77
"Closest thing to an Irish Pub here in San Jose.

Guiness is good, food it typical pub food, location is central to other resturants.",6/1/2009,Tim C.,4,0,0,0,25
"Best place to be at on St' Patrick's Day.

I miss the bell behind the bar.

One time, it was my birthday and me and my brother and friends were throwing down pitchers of Guiness. We were all pretty shit-tanked already.

My cousin, a dude, shows up late, with 2 other dudes.

We are wasted. We were already toasting to everything we could think of just for a reason to cheers.

The next toast as my cousin and his 2 dude friends entered?

""To Michael's boyfriend!""

As we all stood and clinked pints, the next table over, 2 couples on a date, stood up as well and clinked glasses with all of us.

Once again, ""To Michael's boyfriend!""

Everyone at the bar, sitting on barstools also got up and raised their pints and glasses high.

""To Michael's boyfriend!""

The bartender rang the bell and urged everyone to raise a glass.

""To Michael's boyfriend!""

The whole damned bar.

Best. Toast. Ever.",5/20/2009,Dano G.,5,1,4,1,325
Got double billed on my credit card so I was none to happy but always a good pub to hang out it. Mistakes happen,5/18/2009,Matthew J.,3,0,0,0,63
"It has potential. It can be a good bar sometimes. Some bartenders are good. Others, not so much.

The crowd is OK most of the time.

The drinks are relatively expensive. Beers on tap are $6. Bottled beers are cheaper but come in a very limited selection.

I believe hard-liquor drinks start at $8. Pours are carefully measured and free drinks are very hard to come by.

After going here almost weekly for three years and tipping at least $3 per drink, I think I got two free drinks total, ever.

If this is a friendly, neighborhood Irish pub where ""you're only a stranger but once,"" I want better cheap beer choices, generous pours and a free drink now and then for loyal costumers and good tippers.

I  have dropped O'Flaherty's from my regular rotation of downtown bars, but I plan on visiting again to see if things have improved. Last two or three times I was there, they were out of the beer on tap that I requested and the crowd was lacking a vibe.

For now, I'd rather go to a bar with cheaper drinks, or more good looking women, or both.",4/22/2009,omega k.,2,0,0,0,62
"Great atmosphere, great service, and friendly people.

In my opinion, the best pub in San Jose.  It is always my first choice for a place to go for a pint with friends.  On the right night, you can walk into O'Flats and enjoy one of the most authentic pub experience to be had in the Bay Area.  Sunday and Tuesday nights are their traditional music nights.  Most of the time it is a rather quiet, laid-back pub to enjoy drinks and conversations at.  Weekends and nights with a Sharks game can get crowded, but that is to be expected with any place that is located so close to central downtown.  

It is worth at least one visit; as it might turn into 'your pub' before you realize it.",3/25/2009,Jamie F.,5,1,1,1,3
"This place is normally a 3-star pub. But I must deduct one full star after this Monday and Tuesday of this week. More on that later in this review.

I have been coming here for several years. I have once or twice had an amazing time here, but I definitely had to pay for it  (since this place can be pretty bland at times and alcohol helps make it more fun). Most of the time, I have an okay time. And I can honestly admit, I have never had a terrible time at O'Flaherty's.

It's a very relaxed, laid back atmosphere and for most part, attracts a very nice, friendly crowd. But there isn't a much to do but drink here. But hey, it's an Irish pub, so I guess that fits the bill.

Unfortunately, for an Irish pub, O'Flaherty's does not seem to care that much for St. Patrick's Day. I came here on Monday night with some soccer teammates hoping to to have an Irish Car Bomb are two, chat about the game, and of course, bring in St. Patrick's Day early.

Upon arrival at 12:10 A.M., the bartender rings a bell. I assume he just got a huge tip or something. But the bell was actually for ""last call."" That is pretty damn early for a local watering hole.

It was not that slow for such a small place. They still had 10 or 11 people at the bar and I had a small group of 3 with me. That's basically turning business way. But hey, it was Monday and maybe they were prepping for a long day tomorrow. Fair enough.

Yesterday, which was St. Patrick's Day, after a super sober experience at Boswell's, I head over here from Cambell and I see a good crowd and proceed to walk inside. I am excited.

I am ready to consume my first St. Patrick's Day drink. As soon as I walk in around 12:15 A.M. and the bell goes off. The bartender called last call at 12:15 A.M. on St. Patrick's Day? Really?

Does the owner of this bar not care about St. Patrick's Day (even though this is an Irish Pub)? Or maybe he could care less about his customers? Or maybe he doesn't care about money (even though it's green)?

Whatever the reason, this place does not deserve to be called an Irish pub. I want to rename it Grandpa Willy's Bar or something that makes it seem like an old man's bar, since this place seems to like to obviously go to bed early.

Lame.",3/18/2009,Archie G.,2,11,9,6,962
"This would be my local if I got out more.  Last night was girls night out with my bff.  Her bf stayed home with her kids and my little one and we went out for an evening at the local.  Our church has a gathering here every 2nd Thursday of the month.  Yes, that's right, our chuch.....partially because our priest is English and he likes a good pint as much as the next bloke. My friend knows the bartenders here and they were awesome, cool, laid back and friendly.  

I love all things Irish, I am part Irish so it stands to reason.  I love all the pictures on the walls, the wooden bar, the homey feel of this place.  It totally looks like a pub you would find in Ireland.  It's not a big place and it got pretty crowded last night but we had staked out seats at the bar early so we were good.  They have a full bar, many beers on tap including my beloved Guiness and Newcastle, and they serve pub food.  What more could you ask for??",3/8/2009,Lynn W.,5,9,8,10,398
"If I'm not going to Firehouse, then I'm going here. Where else can I relax with a pint of perfection in a casual, friendly atmosphere that isn't bombarding me with obscenely loud music? Granted, obscenely loud music has it's time and place, but sometimes, having a fresh glass of Boddington's, some salty pretzels, and live Irish folk music is just what the doctor ordered.

Although the menu is somewhat small, all the food I've had here has been great pub food. The Guinness Stew, Sheppard's Pie, Calamari - all good.

I vaguely remember a back patio from a few summers back when the international rugby tournament was in town - after the last match, all 3 teams came to drink here. So many people, that Ray opened up the back, and even to the upstairs theater. Granted, I was drunk and it was a long time ago, so I just might be mistaken. However, if I'm not, they should definitely open the back up more often. Otherwise, don't go changin'!",3/6/2009,Nicholas T.,5,0,0,0,14
"Every time I come here everyone is laid back and in a good mood.  What a great place to watch the Sharks game if you don't have tickets.  The bartenders are quick and extremely down to earth. I had the bad luck of losing my honeys phone but the good luck that I lost it at the Firehouse, because within minutes we had it back.  Definite place to go to meet some nice laid back people, or watch a game.",2/27/2009,Nydia N.,5,0,0,0,5
"o'flats is the best to hang out before and after Sharks games. i've spent many seasons watching games at the bar as well and there's always good company and plenty of Guinness and Smithwicks. just the way i like it!

Ray O'Flaherty is the nicest gent ever as well! i usually see him at the end of the bar chatting up with someone or sometimes even down the street at the Firehouse. their slogan is also TOTALLY true ""you're only a stranger but once."" even when i'm not going as frequently everyone still remembers me which is always refreshing.

this is also my favourite place to hang out on St. Pattis. great place to see the pipers walk by whilst having a few pints.",2/26/2009,Karen N.,5,0,0,0,59
"Ahh, O'Flaherty's! My pub gem in San Jose's silly meat market club scene. You won't walk in and feel like a naughty dog in an episode of Cesar Millan's ""Dog Whisperer.""

Ruffian loitering outside of club: ""Tssst! TSSSSSSST!!!""
Me: ""Grrr! GRRRRRR!!!""

It's relaxed but still lively. The bartenders are funny and friendly when there's time for chit-chat and polite and efficient when it's busy. The crowd runs the gamut from engineers to hipsters to college kids to old guys who can drink you under the table--and none of them are there to be seen or to bother you if you just want a chill drink with your friends. You can have a pint of properly pulled Guiness and watch a rugby match. The bathrooms are generally clean and there are multiple stalls so the line to break the seal is never ridiculous. In short, it's everything I want in a bar that's so hard to find in San Jose; an unpretentious jeans and hoodie island in a sea of bubble dresses and Affliction shirts.

Thank you, O'Flaherty's! You're one of the few reasons I haven't completely given up drinking locally.",2/20/2009,Katie T.,5,0,0,1,33
"A nice little pub in a boring as hell city.  I wish this pub were closer to me.  It's a fun place to hang out.  They have a good happy hour, all kinds of Irish Whiskeys, good beer selection, nice pub atmosphere, live traditional Irish music a couple times a week (unlike other Irish pubs in the area), and despite comments in other reviews saying ""there's no Irish working here""...well, there are some Irish employees, just not all of them, and additionally, the owner himself (Ray O'Flaherty) is from Ireland and can often be seen hanging out in his pub.

I also like that this place is not inundated with loud TVs.

The only thing that brings this down to 4 stars from 5 is that the food is just ""ok"". It's not bad, by any means, but there's definitely nothing exceptional about it either.",2/9/2009,Greg R.,4,0,0,0,26
"It takes a lot for me to be impressed with a bar (read my other reviews of swanky joints I've been to around the bay area!).   This place had it all.  Friendly staff - from the guy at the door carding people, who was friendly and cracked a joke while he waited for me to pull my ID out, to the friendly waitress who complimented me on purse while making sure my date and I had our glasses filled at all times, to the well stocked and clean restroom, and lastly the interesting patrons that frequented this spot.

This place gets a well deserved 5 stars! (of course it also helped that my date was hot, but that has nothing to do with this establishment!)",1/26/2009,Jaime P.,5,0,1,0,809
One of our favorite hang out spots!  It's a relaxed and fun atmosphere and the waitress is always on hand to wake up the boring friends who don't want to drink.  =)  Always a good time... especially after a winning home game by the Sharks!!,1/21/2009,Danae M.,5,0,0,0,9
"Very nice place to have some drinks and hang out with friends  if you are downtown.good selection of beer is a plus.
The bartenders are always very nice and helpful.
i highly recommend this place.
",1/4/2009,Cristhian R.,4,0,0,0,39
"Outstanding pub - great atmosphere, great beer - they have Smithwick's on tap and Powers whisky (I don't know where else you can get that one-two combo)!  Gets crowded during Sharks games, but in a good way.  Bartenders are always nice and never have attitude issues like so many other downtown SJ bars.  Definitely worth a visit.",12/31/2008,Dan S.,5,2,0,0,16
"A solid pub option for downtown San Jose.

I went here a few nights before Christmas with two friends (and about a half hour before a Sharks game ended, as it turned out).  O'Flaherty's has several tables and a handful of stool-and-barrels for patrons to sit at, in addition to the bar space.  Once the Sharks fans poured in, the space felt fairly crowded.

The tap featured a couple of good beers, and the bartenders were friendly given the influx of people.  I would definitely come back here again on a non-game night to enjoy a quieter drink.",12/28/2008,Bill H.,3,0,0,1,684
"15 mins before the last 2008 home game for the Sharks [they won 5-0! oh shiznats!], my friend and I decided to waddle on in for a walk by irish car bombing.

We were in and out after 2 speedy rounds. She chugs faster than I do- that takes skills... ahem, if you know-what-ahh-meanz. [shh, don't tell her I said that.]

Didn't stay long to really absorb the atmosphere, but from the looks of it everyone seemed to be enjoying a chill night out at the pub. They also offer free pretzels. Anything free deserves at least 1 star, right?",12/25/2008,Caro M.,4,2,3,2,234
"I have been here on a number of occasions and my experience has been from good to not so good.

At times when I've been there in smaller groups it's not so bad. And then again with larger groups and it's like night and day. I don't know, but I think that in general places have a revulsion of tending to large last minute parties... as we want to do most of the time.
buhahahahahaha

The garlic fries are meh.

The beer is a-ok.

The color drawing of Michael H outside the men's bathroom,
in a mother f'n kilt,
I'm a fan of.
;D",12/17/2008,John-Michael C.,3,10,10,8,1155
"I've been in here twice.

Once after a sharks game for about 15 minutes. Talk about speed drinking drive by!

AND

Last night for about 30 mins. It was a bitter sweet drop in for a beer with a co-worker.

It also happened to be O'Flaherty's 6th anniversary party and I missed out on the free beers from 5-8pm. Leave it to me to mess this one up with my ""fashionably late"" appearances. ugh.

3 stars for now because I haven't had any good times here..just quickies.",12/11/2008,Lily R.,3,5,4,4,712
"I've never been to Ireland, but walking into this place seems like entering another world.  At first glance, it seems so similar to Firehouse just a few doors down, but inside, the much quieter (though still pretty loud) atmosphere, the dark drinks they have on tap, and the very cool tables and chairs tell me this place is special.

With the group I met here, everyone was ordering little side dishes and small meals, and the food quality wasn't overwhelming, but if I was hungry enough and the price was low enough, I'd eat here.  After a pint or two, I couldn't tell good food from bad anyway, so I'm probably not one to judge a pub.

Since this place is just across the street from the San Pedro parking lot, and since there's plenty of seating and wide open spaces, I could easily picture myself coming here time and again.

I may have no Irish blood, but you can bet I'll be back again.

Ps.  All the tables are converted sewing machines.  With the turning wheels still working.....I had endless minutes of fun pedaling....it had an addictive resistence...much like popping plastic bubble wrap, hahaha",11/24/2008,Tetsu N.,3,3,4,3,386
"That's it, its a pub.
Only things available are beer, beer and more beer.
Happy hour apparently ends at 6pm so we were late when we got there. There's only a few things in the food menu and from tasting the garlic fries, I wouldn't be surprised if they just pulled it out of a frozen bag from Costco, add salt, pepper and 1/10 of a clove of garlic and slap 4$ on it.

Nice location, right in front of the parking structure. No street parking.
I did hear there's a ton of people who come here during Sharks games, there's only 1 flatscreen in the back  and people come here to watch during the games?",11/24/2008,Dennis O.,2,6,7,5,344
"How can you go wrong with an Irish pub?  Answer - you really can't.  Well, unless it's a pseudo-Irish pub.  But O'Flaherty's is definitely the real deal.  Great place to wander into during the summer (or even winter, hell, this is California...) when the front is open.  The bartenders and waitstaff are friendly and first-rate, and there are plenty of beers on tap.  It can definitely get packed (and holy christ, look out on St. Patty's Day...), but that's just more of an opportunity to make new friends!  Assuming, of course, that your new friends are okay that you met when you stepped on their foot and spilled Guinness all over them.  But that's just quibbling.

There aren't many better places in San Jose than O'Flaherty's.",11/19/2008,Ryan V.,4,0,0,0,8
"Alright you guys, I reeeeallly like this place. I mean it, I really do. The atmosphere is cool, the beer is good and it's close to the HP which makes it an awesome place cool place to head to after a Shark's game. Now here comes the ""but"": The one (and only) thing I find troubling about this place is the smell. I'm serious, it really smells sometimes. I have been here 3 or 4 times now..the first time we were there it was a hot summer day and it was filled with lots of sweaty people and a band who looked like they maybe hadn't showered in days. The stench was pretty bad then, so we opted for a little table under the awning outside. We left, happy and with bellies full of yummy food and beer, planning to head back when it wasn't so crammed with people trying to beat the heat so we could sit inside and enjoy the atmosphere that brought us there in the first place. The second (and third) time we went back it still stunk! What the heck!? I don't get it.....it's a mystery to me. Honestly, the last time we went there, a couple weekends ago, the smell was so bad, especially in the hall on the way to the bathroom that my friend became ill and she left. Thankfully, my sense of smell isn't connected to such a severe gag reflex or else I would miss out on a cool place. I will continue to suck it up (not literally, of course), and keep going back here if I'm in downtown SJ, but I wouldn't mind it if the mystery stench was demystified and taken care of . Peeeee Yewww!

Our waitress was bomb tho :) Especially on a busy Friday night. She did a great job dealing with a bunch of thirsty Sharks fans!",11/17/2008,Nikki B.,3,0,0,0,92
"Yay for Pear Cider! This place seriously kicks me to back to my college years to a little place we who lived the SLO life called Frog and Peach! Totally chill, great ""beer"" (and I'm so not a beer fan...)

I definitely have a soft spot for any place that makes me feel 21 again! Oh sigh!

This is a great bar to chill and just hang with friends without having to talk over the crazy loud music or the crowds of stylistas swarming to get to the dance floor, because there really isn't one. Not that I'm one to dis a fashion forward girl, as I am one of those from time to time. It's just sometimes you just want to relax with some buddies over a cold one.

So props to the O' for chillin' old school!",11/16/2008,A. Claire C.,4,4,4,3,52
"Typical Irish Pub. Located along the San Pablo Square right in front of the garage parking that charges you a small fee after 10pm i believe.  ( It used to be free!! sigh ) There are seats/umbrellas in their outside patio.  The inside is pretty spacious but the place can be packed so it can get tedious.  Bartenders are pretty chill but very busy.  I only drank a glass of beer here and some other mixed drinks.  This is a place mostly for beer drinkers!  

Everytime i pass by that place though, I always get random people trying to get me to come in and join them to get a drink..not the workers there, but people who are sitting/chilling/drinking that ask me... how weird.. maybe i should take up on free drinks offer next time? LOL!",10/31/2008,Kathy D.,3,2,2,1,1017
"Almost gave O'Flats 4 starts, but I have grown quite fond of this place over the few years I have been going semi-regularly.  It is a good stop before going somewhere else, around 10 to 11pm is nice.  Since its on the way home, one last beer here at 1:30 is not uncommon.  They will usually serve pretty late, unlike a few other places that quit 1:15am (which is infuriating).

I don't hit this place much when its crowded, though the crowds tend to be much more tolerable.  Sharks crowd aint too bad.

Beers on tap are good.  Smithwick's (pronounced  'smith-icks') is one of my favs and they usually have the seasonal Sam Adams too.  Good selection of Scotch if thats your mood.

A few years ago on my birthday, the owner got the bar to sing and gave me a free shot.  I've seen that a few times since...its kind of cool.

St. Patty's is always fun here too, they open up the back and upstairs.  Its worth checking out if you don't have any plans.",10/9/2008,Chris R.,5,0,0,0,43
"I hate to say this....I gave this place 5 stars. Why? It was the first place I went to when I was trying to get over my exboyfriend years ago. My cousin Aja H. took me here in account to trying to make me feel better. She did...until the minute I puked. Now I look back on this place and I smile about it. Plus, the last time I came in here was with my two good friends and my boyfriend at the time. We wanted to use the restroom, but we weren't allowed to use it unless one of us got a drink. Turns out...one of my girlfriend's downs a large glass of beer with my boyfriend. Crazy night! We went club hoppin' and ended the night at this place. Thanks O'Flaherty's for your bathroom use and the times I got drunk and puked in front of your place. Hehe! Many thanks to the guys for their homage...words of wisdom in regards to exboyfriends and how much of an asshole they are.

HAPPY HOUR INFO:

When: Mondays-Fridays, 4pm-6pm

Drinks:
$3.50 20oz. pints of draft beer
$3.50 well cocktails
$3.50 imported bottle beers
$2.50 domestic bottle beers",10/3/2008,Fraulein C.,5,6,3,4,580
"I'm so sorry O'Flaherty's for forgetting to review you.  We've spent so many nights together and now I act as though I don't know you.  

I've turned a cold shoulder.  

And yes, after all of those lonely nights together, I am only giving you three stars because you were good to me at a time when I was desperate.  A time when places that were confused of their status, is it a dive-is it an urban hip club, were ok to hang at.  Unfortunately, old friend, that time has come to pass.  I've moved on to darker dives and taller shots.  We've just grown apart.  This time had to come.

Thank you always for the memories.",9/30/2008,Noel M.,3,2,2,1,1406
"Great pours, great ambience on the patio with a cool summer evening breeze, and a cordial staff will always leave you smiling.

Good burgers and other pub grub here too. Parking across the street, and close to other bars and pubs if you are on a crawl. A+",9/20/2008,Paul S.,4,1,1,1,338
"Awesome place and great live music!  Also, they have cider on tap! Small and great atmosphere. Eat outside or inside on old sewing machine tables!",6/23/2007,Tom E.,5,0,0,0,98
"This place is OK.  It is not a bad place to go sit and have a couple drinks.  I found the staff and their constant parties with friends to be annoying.  

The bartenders that blow fire to impress the girls are kind of lamers but they mix a good strong drink so that makes up for it.  The food is average at best but it is a pub so what do you expect.

If I hear one more busboy yell: ""who likes to party"" I will hit him with a bar stool.  Yes, we all love to party we just don't like watching you and your drunk friends scream about it.",6/13/2007,Steve M.,3,0,0,0,17
"Oh O'Flaherty's how I heart you so. If you can't dance and your not a fan of clubs but you ARE a fan of pubs (like me!) then this place is for you. It's an actual Irish pub, but in San Jose. The prices are solid, the music is suited to angry Irishmen (dropkick murphys anybody)? Oh, and on your birthday, the bartender will drink a car-bomb with you. Definately my favorite pub in the area (sorry BBC).

Did I mention the tables are old sewing machines? The kind with the footpedal?",6/8/2007,Eric P.,5,0,0,0,183
I miss the old menu but I guess I never really come for the food anyhow.,6/2/2007,Ernest C.,5,0,0,0,17
